data,tipo_crime,rua,bairro,latitude,longitude,turno,fonte,severidade
2025-04-15 07:08:00,Assalto,Av. Historiador Pereira da Costa,Suape,-8.27058214617472,-35.03345660752928,Manhã,BO,5
2025-04-08 07:32:00,Furto,Av. Historiador Pereira da Costa,Ponte dos Carvalhos,-8.266807786547481,-34.9919242535898,Manhã,Relato anônimo,5
2025-02-13 05:44:00,Furto,Rua da Estação,Suape,-8.288853834368084,-35.03585342392373,Madrugada,Imprensa,3
2025-03-07 12:06:00,Roubo,Rua da Praia,Ponte dos Carvalhos,-8.243519679612314,-35.01081413177118,Noite,Imprensa,5
2025-06-29 03:59:00,Furto,Rua da Matriz,Novo Horizonte,-8.294736859648374,-35.01643599891035,Madrugada,BO,5
2025-03-01 01:42:00,Furto,Rua do Canal,Gaibu,-8.294585442320312,-35.04164324383926,Tarde,Imprensa,1
2025-04-24 14:40:00,Tráfico,Rua do Rosário,Charneca,-8.27695094321085,-35.077832006116445,Noite,Relato anônimo,3
2025-07-17 20:10:00,Furto,Av. Laura Machado,Ponte dos Carvalhos,-8.326122945812825,-35.04405718823102,Tarde,Relato anônimo,4
2025-08-06 10:53:00,Furto,Av. Governador Agamenon Magalhães,Gaibu,-8.30832077800836,-35.022143816685116,Manhã,Relato anônimo,1
2025-02-28 06:58:00,Violência doméstica,Rua Monsenhor Fabrício,Suape,-8.305700601888029,-35.06530759253339,Noite,Relato anônimo,4
2025-04-20 04:15:00,Furto,Rua da Estação,Enseada dos Corais,-8.24635878077696,-35.035644407512166,Noite,Monitoramento,5
2025-06-22 15:05:00,Furto,Rua Professor Luís Sobrinho,Enseada dos Corais,-8.281311794882802,-35.065618704655336,Manhã,BO,2
2025-05-21 12:38:00,Assalto,Rua Dr. João Leitão,Ponte dos Carvalhos,-8.296609568113128,-35.027226935257254,Madrugada,Imprensa,5
2025-08-05 17:48:00,Tráfico,Av. Historiador Pereira da Costa,Ponte dos Carvalhos,-8.311774839435557,-35.02060754954136,Noite,Imprensa,1
2025-02-12 23:56:00,Furto,Av. Tejucupapo,Novo Horizonte,-8.29801596724797,-35.03729234374483,Noite,Relato anônimo,5
2025-03-23 11:48:00,Tráfico,Rua Sete de Setembro,Gaibu,-8.298042665305735,-34.98369304538728,Tarde,BO,5
2025-05-15 09:15:00,Furto,Av. Historiador Pereira da Costa,Ponte dos Carvalhos,-8.283337430618447,-35.0564427732239,Manhã,Relato anônimo,5
2025-03-01 17:49:00,Vandalismo,Av. Presidente Kennedy,Novo Horizonte,-8.26243637719742,-35.06052109124928,Tarde,Relato anônimo,4
2025-06-27 19:27:00,Vandalismo,Av. Tejucupapo,Suape,-8.277778410124881,-35.07899175309699,Tarde,Relato anônimo,3
2025-06-24 14:07:00,Furto,Rua do Canal,Novo Horizonte,-8.31620465122246,-35.02507846910327,Tarde,Relato anônimo,1
2025-07-12 07:00:00,Furto,Av. Governador Agamenon Magalhães,Gaibu,-8.264538335500115,-35.02571579297025,Manhã,BO,2
2025-03-02 16:15:00,Roubo,Rua da Matriz,Pontezinha,-8.285891207059706,-35.037527592389736,Noite,Monitoramento,2
2025-06-13 13:12:00,Assalto,Rua do Forte,Gaibu,-8.319963049759185,-35.04799610520987,Manhã,BO,4
2025-02-25 21:41:00,Furto,Rua Dr. João Leitão,Novo Horizonte,-8.294515969273995,-35.00357194434453,Manhã,BO,4
2025-04-02 06:34:00,Arrombamento,Rua do Rosário,Gaibu,-8.274409542760788,-35.074076003884066,Madrugada,Relato anônimo,4
2025-03-03 14:51:00,Roubo,Rua da Estação,Gaibu,-8.27489790076513,-35.03962705701041,Manhã,BO,5
2025-03-26 13:31:00,Violência doméstica,Av. Presidente Kennedy,Gaibu,-8.29992305000765,-35.01470809277898,Madrugada,Relato anônimo,4
2025-02-12 12:16:00,Tráfico,Av. Tejucupapo,Charneca,-8.257225011937601,-35.00671799702209,Madrugada,Imprensa,4
2025-03-23 06:18:00,Arrombamento,Av. Governador Agamenon Magalhães,Novo Horizonte,-8.303980438080565,-35.03773030939628,Tarde,BO,5
2025-02-26 01:37:00,Arrombamento,Rua da Matriz,Pontezinha,-8.27471841421491,-35.00561137182194,Madrugada,Relato anônimo,1
2025-03-01 19:04:00,Vandalismo,Av. Presidente Kennedy,Enseada dos Corais,-8.294979355946131,-35.034641474416595,Tarde,Monitoramento,1
2025-07-20 02:26:00,Vandalismo,Rua Professor Luís Sobrinho,Centro,-8.310658374350151,-35.05990516560202,Noite,Imprensa,2
2025-04-20 12:08:00,Assalto,Rua da Praia,Gaibu,-8.262686854440144,-34.99609399928573,Noite,Monitoramento,3
2025-06-09 19:36:00,Vandalismo,Av. Presidente Kennedy,Centro,-8.284800253039508,-35.0049116775527,Manhã,BO,5
2025-05-12 02:56:00,Roubo,Av. Laura Machado,Enseada dos Corais,-8.273959099373808,-35.04612799386513,Tarde,Imprensa,3
2025-07-18 20:33:00,Roubo,Av. Governador Agamenon Magalhães,Suape,-8.273965109862289,-34.99154908583835,Manhã,Imprensa,1
2025-03-13 03:47:00,Vandalismo,Rua do Sol,Suape,-8.283895650977747,-34.99088390860465,Tarde,Imprensa,3
2025-08-06 20:54:00,Assalto,Rua da Praia,Gaibu,-8.348493627602243,-35.00945243739062,Noite,Monitoramento,3
2025-07-24 13:53:00,Tráfico,Rua da Matriz,Ponte dos Carvalhos,-8.280823823294044,-35.03747518376165,Noite,BO,1
2025-03-25 23:28:00,Furto,Rua do Sol,Suape,-8.280705980586612,-35.07968922286502,Madrugada,BO,1
2025-05-17 18:35:00,Roubo,Rua do Sol,Centro,-8.288491797195936,-35.02107218571221,Tarde,Monitoramento,2
2025-05-14 06:43:00,Roubo,Rua do Canal,Centro,-8.246052648881461,-35.04295675545684,Tarde,BO,3
2025-04-13 05:51:00,Violência doméstica,Rua Dr. João Leitão,Enseada dos Corais,-8.30321234007233,-35.042543926089614,Tarde,Monitoramento,1
2025-08-02 23:51:00,Roubo,Rua da Praia,Charneca,-8.260114947057447,-35.02178122225851,Tarde,Imprensa,2
2025-02-21 15:14:00,Violência doméstica,Rua do Rosário,Charneca,-8.296244005094175,-35.01716831417217,Tarde,Monitoramento,3
2025-02-18 21:12:00,Furto,Rua Professor Luís Sobrinho,Gaibu,-8.280573061266299,-35.00578387523668,Madrugada,Imprensa,3
2025-07-26 16:25:00,Tráfico,Av. Laura Machado,Pontezinha,-8.300551327346934,-35.038191553664944,Noite,BO,1
